"iso_o","year","ck","pop_o","area_o","TO","temperature","rainfall","openness_hat","AperP","ckperP"
"MLI",2004,17782.638671875,12391906,1240142,0.5531161766,29.1611666666667,26.5284225,0.00720697668706174,0.100076775921315,0.00143502046189464
"MLI",2005,19368.740234375,12798763,1240142,0.5412532577,29.3472,27.0650633333333,0.00652327139830934,0.0968954577876003,0.00151332907987866
"MLI",2006,22399.21875,13227064,1240142,0.6097667384,28.8539333333333,24.6323158333333,0.00208910468467347,0.0937579193689544,0.00169343844937924
"MLI",2007,25653.7734375,13675606,1240142,0.5664974624,29.0675,25.9847858333333,0.00302748379026341,0.0906827821743329,0.00187587836601171
"MLI",2008,29176.671875,14138216,1240142,0.6378795686,28.5499,29.5927825,0.0017465118335856,0.0877155929715602,0.00206367421992987
"MLI",2009,33550.41015625,14606597,1240142,0.5056843297,29.2214666666667,26.882245,0.00219933028178534,0.0849028695732483,0.00229693542967263
"MLI",2010,39606.0078125,15075085,1240142,0.5798529724,29.74765,33.1753158333333,0.0380870209327594,0.0822643454415017,0.00262724938615603
"MLI",2011,49184.015625,15540989,1240142,0.5391355779,29.2277416666667,23.975285,0.00455303335630242,0.0797981389730087,0.00316479315602115
"MLI",2012,49908.36328125,16006670,1240142,0.5867060749,28.7673666666667,28.6975741666667,0.0443537499832937,0.0774765769519831,0.00311797290012539
"MLI",2013,52223.21484375,16477818,1240142,0.6483869753,28.9210833333333,27.03219,0.000483541305421059,0.0752612997667531,0.00316930402094197
"MLI",2014,55763.140625,16962846,1240142,0.6063870922,29.0446,27.3292708333333,8.57071935182089e-05,0.0731093119633345,0.00328736938512559
"MLT",2002,19278.0390625,401303,316,2.188529089,19.3497083333333,32.8870316666667,0.0305852116968542,0.000787434930713202,0.0480386118780572
"MLT",2003,19964.046875,403211,316,2.145723403,19.4480583333333,49.6637583333333,0.00903125377122685,0.00078370877778632,0.0495126543546679
"MLT",2004,21140.25,405007,316,2.082573142,18.8789333333333,31.97244,0.00705433309576129,0.000780233428064206,0.0521972459735264
